,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags,disorder,Unnamed: 0
48,cosmutt,It's almost time.  Let's engage each other on twitter spaces and learn one or two things that can help us defeat de… https://t.co/BNKwPVBlmq,"Nairobi, Kenya",living like there no tomorrow,5003,2185,56935,2012-01-10 09:31:43,0,[],depression,
49,ChepMer,"People don't fake depression, they fake being okay.","Nairobi, Kenya",untethered soul,197,70,564,2019-11-24 11:44:40,0,[],depression,
50,Ndeshmo,"Being a youth, especially a male, is proving to be dangerous.
Joblessness, depression, and anxiety.
#JusticeForKianjokomaBrothers","NAIROBI,KENYA","Esports lover || Lover Of Peace || Change is You & I ||Music Is Life||
#KenyaCup ||Space Nerd || #Futurist ||#KenyanPatriot|| #Activist || #Environmentalist ||",1330,4002,73786,2011-07-27 07:39:42,2,"[{'text': 'JusticeForKianjokomaBrothers', 'indices': [100, 129]}]",depression,
51,saltbae_bae,"This version of me wasn't built overnight, this is experience this is pain. This is insecurities this is abuse. Thi… https://t.co/USkht0urzN",Nairobi,"Comedian// dancer. Let roll and find it
Love music🥀🎧",1548,1572,3923,2020-04-04 18:47:29,37,[],depression,
52,DUNCANK80303246,"@SenMutula We depend on you people law makers to change the current state of affairs, we are losing more people to… https://t.co/Ku8Rpn3hst",NAIROBI-KENYA. ,"The world will not be destroyed by those who do evil but by those who watch and do nothing,live to leave a better world,I'm a true soldier of justice to the end",487,43,135,2017-05-01 20:31:14,0,[],depression,
53,MFALME_2_5_4,"Being a youth in this country must be documented in 1000 ways to die as no 8. Talk of depression battles, unemploym… https://t.co/3085tYB4FX",Nairobi Kenya,determined...,1021,1626,8484,2020-03-02 14:43:06,1,[],depression,
54,judethaddeuskym,Depression hidden in all our tweets,"Nairobi, Kenya","Remember that I'm just a man don't follow me nigga.
I don't need to turn myself into a parody; I don't do the shit you do for popularity",1547,1549,18798,2020-01-19 17:17:20,0,[],depression,
55,gitweeta,If they ever close Open House Karen I'd save so much money... but then I'd die of depression by day 1.5,"Nairobi, Kenya",UI/UX design. Infographics. Data science. Arsenal. Afro-house. History & Documentaries. Next/Burton. Bikes. Travel. Nature. Long articles.,493,4737,68149,2009-03-30 10:26:05,0,[],depression,
56,djneshk,"We got dreads,tattoos,piercings.thats our lifestyle, how we want to live.not how you want us to live. we've lost yo… https://t.co/fGooInE2VI",Nairobi kenya,"Realest Party Dj 
@Partynationent Dj
Dj @Y254channel 
Bookings;djneshk@gmail.com / +254719728717
platforms: @deejayneshk",810,1113,3288,2016-06-21 20:50:06,46,[],depression,
57,MairuraRatemo,"Sheba,daughter to a sick and disabled man had no fees nor anyway to get to school.
Her sister had previously commit… https://t.co/VJEj9xMXuJ","Nairobi, Kenya",Courageous and Brave,1747,494,387,2015-07-20 09:36:29,0,[],depression,
58,kinoti_boris,The police will continue dying and killing themselves then blame depression. What do you expect after subjecting an… https://t.co/urC0jLLiNB,"Nairobi,Kenya",Journalist. Photographer. Digital Marketing & Communications Specialist.,278,80,159,2018-01-14 21:04:25,1,[],depression,
59,SokoAnalyst,"This is what has been happening and in the process, investor confidence has waned to the lowest ever in the history… https://t.co/xrNdbWSABC",Nairobi.,Market Analysis. Market Research. Investment Overviews. Legal Research & Drafting. Digital Media Trend Analysis & Campaigns and Dark Innuendos. I come as a TEAM,5059,243891,343339,2009-11-05 20:43:39,1,[],depression,
60,MinotiAnthony,@Oyondi_Malik Being a youth in this country is so scaring cz you don’t know when they’ll either starve you to death… https://t.co/U5SJX1nR98,"Nairobi, Kenya","Creative Director, content creator, Social activist. Loyalty is a treasure not granted to everyone but to few special ones..",220,401,4055,2012-02-07 15:47:08,0,[],depression,
61,slyrie,"LRT, yes. And when you’re a parent, it doesn’t matter if that’s the day the little depression hits you 😩 you have t… https://t.co/3Yl1uxmHZw","Nairobi, Kenya","Food Enthusiast ❤️ | Mind The Business That Pays You | Lower your expectations of me | Talk nice, or don’t talk to me at all",2131,32892,337591,2012-01-27 16:14:53,0,[],depression,
62,Jontemunkin,I honestly don't see the benefits of this government control excuse in the name of curfew. Corona has increased des… https://t.co/7sU2qhiaC4,"Nairobi, Kenya",Nairobiand Mombasa and it's Viro,595,94,558,2015-09-02 10:47:17,0,[],depression,
63,john_gathon,"Am afraid being a youth in Kenya
I fear for my survival, I don't know when am going to die
Coz if I survive police… https://t.co/iJsS83SToI",Nairobi,"Rise above hate/ saxophonist 🎷//

music for life🎶/ prayers, persistence and focus #amerix #manchesterunited #ruto Manchester United all the way",725,67,122,2019-07-31 17:48:46,1,[],depression,
64,reansbakers,"#JusticeforEmmanuelandBenson 
I prayed today. Haven't had the strength to pray lately. Cause life has become meanin… https://t.co/4Yagsbd1qI","Nairobi, Kenya","Developer🏘️
Writer
Extroverted Introvert",241,190,665,2013-03-12 11:20:21,0,"[{'text': 'JusticeforEmmanuelandBenson', 'indices': [0, 28]}]",depression,
65,Wambua_LR,@mari_mwangi @RobertOGILLO1 @WaNduta8 @mwithigaP @engmagero17 @AmechokaPunda @harun_muya @ngangadenni @MbokaNkolo… https://t.co/9pkhtqAIJg,"Nairobi, Kenya","Tweep of integrity.
Revolutionary.",163,248,4730,2017-07-31 10:08:50,0,[],depression,
66,AmeerahMungai,"A hot Podcast is out. Are you the friend you should be to your friend with #depression ? Listen, share &amp; let's keep… https://t.co/BwBEqBl1Ip","Nairobi, Kenya","Muslim, Passionate about Mental Health Awareness - Chronicles of my Beautiful Bipolar Brain Podcast,  Mother, Personal Hygiene Guru. ameerahbul@gmail.com",2562,1994,1277,2011-07-09 07:55:16,0,"[{'text': 'depression', 'indices': [75, 86]}]",depression,
67,justkamu,This can be frustrating. Can even lead to depression. https://t.co/Ttas2N2pL3,"Nairobi, Kenya","#Evaluation specialist with #UNICEF. Powered by Intellect, Driven by Values.  Personal account. Retweets not endorsement",2985,1597,12357,2009-11-08 08:20:03,0,[],depression,
68,Dennis_Mwangih,Jimmy gait deserves to be on depression fulltime🙄,"Thika, Kenya","Designing solutions for kenyans.||
Dev ||
Legal",451,54960,31141,2020-04-11 15:52:18,0,[],depression,
69,OtienoOtieno92,"@Arsenal @premierleague You are about to send fans into a season of mental anguish, stress and depression as you po… https://t.co/Lx29eDa9N6","Nairobi, Kenya","A teacher and a scholar of Literature and Cultural Studies, avid lover of History, and a football enthusiast.",817,1226,4766,2014-01-15 21:20:48,0,[],depression,
70,LeboiAbdallah,They will go down in history as the two brothers who never got justice at all. They will go down to history as the… https://t.co/dZ9nM3G83J,"Ngong, Kenya","Works with the @ITangaza.
Fun of @Arsenal, @Juventusfc, @BVB,
https://t.co/L7dvNG1TZE",1984,769,3134,2017-03-27 13:22:20,0,[],depression,
71,MutheeNaomi,"I love that we’re talking about depression and anxiety this year,way to go","Machakos, Kenya",uggggh,2382,2730,1161,2018-12-26 06:41:12,1,[],depression,
72,Samiah_Kenya,"Many graduates fall into depression because of joblessness.
Iam happy to hear of an agency which caters for all you… https://t.co/fSa7yQfiWN","Nairobi, Kenya","At HIS own right time, God makes everything Beautiful!",8912,15005,19845,2019-01-18 16:51:11,1,[],depression,
73,DyeAnna7,"@BossladyValeria @AllanNyash Being fat also leads to mental disorders and depression..
Unfat your flat ass","Nairobi, Kenya",Love and Light.💞. dermatology.💞. laravel.💞. design.💞. meta trader,1745,1410,7122,2021-03-25 05:59:33,0,[],depression,
74,vayolencecity,@KNH_hospital Depression and poverty,"Ngong, Kenya","Swaggga, malisa Piga kapsaa",28,18,31,2021-08-10 10:14:39,3,[],depression,
75,yogacounsellor,"Let's have a chat when you are ready. 
#counselling #onlinetherapy #anxietyrelief #depression #mentalhealth… https://t.co/CNaFTE8Tev",online,Online Counsellor. Yoga Therapist. Educator. LGBTQIA+ safe space & sex positive,51,5,10,2020-12-29 22:27:55,1,"[{'text': 'counselling', 'indices': [39, 51]}, {'text': 'onlinetherapy', 'indices': [52, 66]}, {'text': 'anxietyrelief', 'indices': [67, 81]}, {'text': 'depression', 'indices': [82, 93]}, {'text': 'mentalhealth', 'indices': [94, 107]}]",depression,
76,BentenKaudo,@hellenjeriKe Would be better to cool off the political depression UDA is in denial of,"Nairobi, Kenya","Young enough to entertain, old enough to lead, strong enough to provide, thug enough to protect and mature enough to step up.#Find the solution complain later",1083,281,2109,2016-09-07 16:33:29,0,[],depression,
77,GULEMA24,@KNH_hospital Depression for being branded a bad example.,"Nairobi, Kenya","Humble yourself before the lord, and he will lift you up in honour. James 4:10",2710,2598,22008,2020-03-04 10:53:35,12,[],depression,
78,Wuod_masumbi,Official. Arsenal fans have signed a new contract with Arsenal Football Club until 22nd May 2022 which include hear… https://t.co/r2DBoFj339,"Siaya, Kenya","Procurement consultant||Farmer||Citadel of excellence||Moral patriarch||Risk taker||Nonchalant||Adventurer||Globetrotter
Raila Odinga Diehard
 @arsenal fan⚽",5241,4778,388,2019-06-22 07:42:06,0,[],depression,
79,chimamulumba,@Arsenal We can finally say.. the beginning of depression is here!!,"Kakamega, Kenya",Believes in ordinary living.Future of African Architecture🗿.Godly.,922,358,273,2019-10-10 13:18:47,0,[],depression,
80,JalokaJnr,"@OchuodhoElly Watch your words, depression is not something to joke about, no one deserves it, a wrong and a wrong will never be right","Kajiado, Kenya",He who comes to seek equity should come with clean hands,86,120,685,2021-06-03 09:27:49,0,[],depression,
81,wahome1554,@MeTAKenya2018 @LeadersChampion @UzalendoI @TinadaOrg @KisumuPY @MHAYcoalition @LocalLida @JosephOjuki @capmhkenya… https://t.co/XL3CpDeT0R,"Kisumu, Kenya","Big heart
Big smile
Peace ✌️ no. 1 priority.
Mental Health Champion
Health advocate 💪🏾💪🏾💪🏾
💯",530,198,136,2013-09-23 10:44:22,3,[],depression,
82,Ginakoth,Depression and Time https://t.co/zeE7vp349c,"Nairobi, Kenya","Journalist| writer|Let your reasonableness get known to everyone
|A wise person knows their is something  to learn from everyone",302,318,1164,2019-10-26 18:36:44,2,[],depression,
83,SophieMirelle,@MeTAKenya2018 @LeadersChampion @UzalendoI @TinadaOrg @KisumuPY @MHAYcoalition @LocalLida @JosephOjuki @capmhkenya… https://t.co/NZINN3ZtST,"Nairobi, Kenya",,32,26,316,2019-02-27 19:48:56,1,[],depression,
84,chepkemoi97,@MeTAKenya2018 @TinadaOrg @LeadersChampion @HealthandEcono1 @MHAYcoalition @youth4SRHR @capmhkenya @Oayouthkenya… https://t.co/3Z0SAGg7er,"Kakamega, Kenya","I am myself.A Criminologist...A researcher,A human Rights Advocate
lets talk penal reforms
Aware of whats worth my  energy..",240,284,2094,2020-11-09 09:47:27,4,[],depression,
85,BrendaShay_,"The level of frustration, bitterness and depression in this country is really high","Nairobi, Kenya",Mwende🇰🇪 | IT Student 📚| Sagittarius ♐| Pre-25,247,2102,19033,2019-06-06 09:08:32,1,[],depression,
86,6ixpapy,Football is back to cure all my depression.,"Nairobi, Kenya",This is my first year being Rich.,310,337,5988,2017-06-26 17:47:46,0,[],depression,
87,perulpaul2,If you rearrange the letters in “depression” you get “I pressed on.” Don’t ever give up. Your breakthrough is almost here. #HopeOverFear,"Nairobi, Kenya","Vlogger//Marketer//Social Media influencer//


Manchester United Die hard fan 

IG @perulpaul",4938,4114,11839,2014-10-01 15:06:10,0,"[{'text': 'HopeOverFear', 'indices': [123, 136]}]",depression,
88,KariukiChege_,"@Aggripinus 😂😂😂 bravo, first day I was told niko na depression","Nairobi, Kenya","photography, Music, Film 
Urban Nomad; Made for the Streets 📸
@ArtbeatKenya Kenyan Creatives To the World 🇰🇪",665,668,7485,2013-03-03 08:00:50,0,[],depression,
89,bephyne,"Okay, mental health needs to be taken very seriously in Kenya. We're currently ranked 4th in Africa and 9th globall… https://t.co/95WVC1lcfR","Nairobi, Kenya","Creative Director @BeeGlamEvents 💐🌹
#GoodVibes #ATID",5290,6644,88217,2013-03-08 17:19:28,5,[],depression,
90,LiverpoolFCKen2,Hello #KOT  tafadhali rudisheni Jimmy Gait depression maze #MaishaConcertFriday #K24ThisMorning #YNWA,"Nairobi, Kenya",#YNWA  :- You'll Never Walk Alone,586,186,7925,2020-06-28 05:45:07,2,"[{'text': 'KOT', 'indices': [6, 10]}, {'text': 'MaishaConcertFriday', 'indices': [59, 79]}, {'text': 'K24ThisMorning', 'indices': [80, 95]}, {'text': 'YNWA', 'indices': [96, 101]}]",depression,
91,iamWekesa,"The epl is back, more depression to Arsenal fans","Nairobi, Kenya",In a love-hate relationship with Man City,4945,5756,228194,2019-10-23 04:36:48,2,[],depression,
92,BirgenLotter,"@Nyamweyacollo Depression is at an all-time high

People's mental state out here is worrying and it shows man",Nairobi,"Digital Media Strategist, Film Enthusiast, Blogger and writer
Movies & Series Reviews 
Critic 
PR & Marketing 

Tweets are solely based on personal opinions",1230,1025,3087,2012-10-25 17:37:11,0,[],depression,
93,CollinsBriche,"As a farmer, rookie one for that matter, you can easily go into depression from the small small mishaps that happen… https://t.co/b7Hq0pAqxY","Narok, Kenya","Villager, Cows. Sometimes I tweet sense, other times, cows but I also tweet crap too. It's never that serious. Above all, I love marketing.",1056,5694,97039,2011-03-19 08:50:39,1,[],depression,
94,DyeAnna7,"@_CrazyNairobian I am a dermatologist.. I have met several patients with tattoos and the depression they carry..
Fo… https://t.co/Xs5Qfh7eMK","Nairobi, Kenya",Love and Light.💞. dermatology.💞. laravel.💞. design.💞. meta trader,1745,1410,7122,2021-03-25 05:59:33,0,[],depression,
95,DyeAnna7,@Rodglijoo2 @AllanNyash Am a cosmetic doctor.. I have met several patients with tattoos and the depression it comes with them,"Nairobi, Kenya",Love and Light.💞. dermatology.💞. laravel.💞. design.💞. meta trader,1745,1410,7122,2021-03-25 05:59:33,0,[],depression,
96,GitongaDaniel1,@GhettoRadio895 @MajimajiKenya @King_Kafu @deejaykatta #brekko Huku watu wanakufa daily due to other reasons and no… https://t.co/tcJENUyi7D,"Nairobi,Kenya","Physicist|
Teacher|
Open Minded|
Lover of Music",1774,1083,5931,2013-02-14 20:14:52,0,"[{'text': 'brekko', 'indices': [55, 62]}]",depression,
97,kahuria_patrick,@AntoGachau Went to Depression once coz of such shit..but I finally rose again,"Nairobi, Kenya",happy man,4432,2014,2406,2012-12-04 15:23:33,0,[],depression,
98,MuthoniMaryanne,"@EricNjiiru This is so heartbreaking but I am glad he overcame and he is at the level he is currently, I remember L… https://t.co/O2dq1sLIIn","Nairobi, Kenya",Oreo lover 🌞🌞🌞,16421,16376,43125,2013-06-10 12:44:27,0,[],depression,
